"Keyword","Search Volume","CPC","Competition","Level"
"prozessoptimierung",2900,3.8,0.19,"LOW"
"ki automatisierung",1600,7.41,0.63,"MEDIUM"
"ki-automatisierung",1600,7.41,0.63,"MEDIUM"
"kundenservice automatisieren",1300,25.89,0.04,"LOW"
"ki agentur",1000,13.13,0.54,"MEDIUM"
"künstliche intelligenz agentur",1000,13.13,0.54,"MEDIUM"
"chatgpt support",590,3.57,0.07,"LOW"
"ki im vertrieb",480,9.52,0.64,"MEDIUM"
"ki marketing",480,5.77,0.45,"MEDIUM"
"ki steuerberater",480,4.94,0.75,"HIGH"
"job prozessoptimierung",480,0.9,0.42,"MEDIUM"
"prozessoptimierung jobs",480,0.9,0.42,"MEDIUM"
"prozessoptimierung job",480,0.9,0.42,"MEDIUM"
"jobs prozessoptimierung",480,0.9,0.42,"MEDIUM"
"ki im handwerk",390,5.9,0.67,"HIGH"
"ki in der logistik",390,4.13,0.41,"MEDIUM"
"automatisierung marketing",320,9.91,0.11,"LOW"
"prozesse automatisieren",320,14.1,0.22,"LOW"
"chatgpt unternehmen",320,4.35,0.52,"MEDIUM"
"automatisierung logistik",260,8.87,0.23,"LOW"
"automatisierung produktion",260,13.5,0.16,"LOW"
"ki immobilien",260,5.16,0.28,"LOW"
"leadgenerierung b2b",260,26.77,0.2,"LOW"
"prozessoptimierung methoden",260,3.35,0.38,"MEDIUM"
"methode prozessoptimierung",260,3.35,0.38,"MEDIUM"
"prozessoptimierung methode",260,3.35,0.38,"MEDIUM"
"b2b leadgenerierung",260,27.11,0.2,"LOW"
"b2b-leadgenerierung",260,27.11,0.2,"LOW"
"chatgpt für unternehmen",260,5.51,0.79,"HIGH"
"ki für anwälte",210,5.58,0.8,"HIGH"
"ki logistik",210,5.8,0.27,"LOW"
"künstliche intelligenz logistik",210,5.8,0.27,"LOW"
"ki maschinenbau",170,3.77,0.28,"LOW"
"logistik prozessoptimierung",170,4.19,0.08,"LOW"
"beratung prozessoptimierung",170,6.33,0.15,"LOW"
"prozessoptimierung beratung",170,6.33,0.15,"LOW"
"prozessoptimierung logistik",170,4.19,0.08,"LOW"
"berater prozessoptimierung",170,6.33,0.15,"LOW"
"ki gesundheitswesen",140,3.4,0.31,"LOW"
"ki industrie",140,6.3,0.29,"LOW"
"ki handwerk",140,9.61,0.56,"MEDIUM"
"ki automatisierung agentur",140,13.72,0.74,"HIGH"
"ki-automatisierung agentur",140,13.72,0.74,"HIGH"
"prozessoptimierung weiterbildung",140,5.08,0.72,"HIGH"
"ki prozessoptimierung",140,8.11,0.3,"LOW"
"weiterbildung prozessoptimierung",140,5.08,0.72,"HIGH"
"künstliche intelligenz prozessoptimierung",140,8.11,0.3,"LOW"
"ki finanzen",110,5.46,0.56,"MEDIUM"
"automatisierung fertigung",110,21.06,0.07,"LOW"
"künstliche intelligenz vertrieb",110,11.92,0.69,"HIGH"
"künstliche intelligenz finanzen",110,5.46,0.56,"MEDIUM"
"kutzner prozessoptimierung",110,0,0.06,"LOW"
"definition prozessoptimierung",110,3.55,0.08,"LOW"
"prozessoptimierung definition",110,3.55,0.08,"LOW"
"b2b leadgenerierung agentur",110,23.23,0.14,"LOW"
"automatisierung industrie",90,16.71,0.15,"LOW"
"automatisierung maschinenbau",90,4.07,0.11,"LOW"
"ki personalwesen",90,8.51,0.22,"LOW"
"ki produktion",90,5.8,0.33,"MEDIUM"
"prozessoptimierung produktion",90,8.08,0.08,"LOW"
"marketing automation b2b",90,0,0.09,"LOW"
"unternehmen prozessoptimierung",90,0,0.24,"LOW"
"prozessoptimierung im unternehmen",90,0,0.24,"LOW"
"prozessoptimierung vorgehensweise",90,3.88,0.03,"LOW"
"prozessoptimierung englisch",90,0,0,"LOW"
"prozessoptimierung unternehmen",90,0,0.24,"LOW"
"vorgehensweise prozessoptimierung",90,3.88,0.03,"LOW"
"chatgpt für unternehmen kosten",90,5.18,0.59,"MEDIUM"
"automatisierung elektrotechnik",70,5.3,0.28,"LOW"
"ki bauwesen",70,3.17,0.56,"MEDIUM"
"ki cybersecurity",70,10.15,0.48,"MEDIUM"
"ki ecommerce",70,5.02,0.24,"LOW"
"ki unternehmensberatung",70,12.1,0.3,"LOW"
"ki support",70,14.78,0.64,"MEDIUM"
"künstliche intelligenz marketing",70,0,0,"LOW"
"ki und automatisierung",70,3.88,0.3,"LOW"
"automatisierung ki",70,6.09,0.49,"MEDIUM"
"ki-automatisierung jobs",70,2.69,0.48,"MEDIUM"
"automatisierung mit ki",70,5.19,0.48,"MEDIUM"
"ki automatisierung jobs",70,2.69,0.48,"MEDIUM"
"prozessoptimierung mit ki",70,7.57,0.53,"MEDIUM"
"unternehmensberatung prozessoptimierung",70,10.98,0.2,"LOW"
"it-prozessoptimierung",70,0,0.06,"LOW"
"prozessoptimierung software",70,2.37,0.16,"LOW"
"sap prozessoptimierung",70,0,0.14,"LOW"
"prozessoptimierung baustelle",70,2.31,0.01,"LOW"
"ziele prozessoptimierung",70,0,0.05,"LOW"
"it prozessoptimierung",70,0,0.06,"LOW"
"prozessoptimierung sap",70,0,0.14,"LOW"
"ziel prozessoptimierung",70,0,0.05,"LOW"
"prozessoptimierung ziele",70,0,0.05,"LOW"
"software prozessoptimierung",70,2.37,0.16,"LOW"
"ziele der prozessoptimierung",70,0,0.05,"LOW"
"ki fertigung",50,6.82,0.22,"LOW"
"chatgpt steuerberater",50,2.85,0.55,"MEDIUM"
"ki kanzlei",50,3.79,0.65,"MEDIUM"
"methoden prozessoptimierung",50,0,0.16,"LOW"
"schulungen prozessoptimierung",50,4.22,0.53,"MEDIUM"
"bachelorarbeit prozessoptimierung",50,0,0.05,"LOW"
"digitale prozessoptimierung",50,30.99,0.26,"LOW"
"prozessoptimierung schulung",50,4.22,0.53,"MEDIUM"
"prozessoptimierung stellenangebote",50,1.88,0.44,"MEDIUM"
"prozessoptimierung bachelorarbeit",50,0,0.05,"LOW"
"methoden zur prozessoptimierung",50,5.89,0.17,"LOW"
"schulung prozessoptimierung",50,4.22,0.53,"MEDIUM"
"zu welchem unternehmen gehört chatgpt",50,0,0,"LOW"
"rechnungseingang automatisieren",40,29.87,0.37,"MEDIUM"
"chatgpt marketing",40,6.73,0.59,"MEDIUM"
"ki werbevideo",40,7.13,0.76,"HIGH"
"chatgpt immobilien",40,1.79,0.24,"LOW"
"ki-automatisierung tools",40,8.27,0.71,"HIGH"
"ki automatisierung tools",40,8.27,0.71,"HIGH"
"prozessoptimierung consulting",40,9.32,0.41,"MEDIUM"
"hr prozessoptimierung",40,3.33,0.5,"MEDIUM"
"praktikum prozessoptimierung",40,0.77,0.19,"LOW"
"prozessoptimierung beispiel",40,3.88,0.31,"LOW"
"prozessoptimierung krankenhaus",40,6.96,0.25,"LOW"
"das ziel: ein roman über prozessoptimierung",40,0.44,1,"HIGH"
"prozessoptimierung im krankenhaus",40,6.96,0.25,"LOW"
"das ziel ein roman über prozessoptimierung",40,0.44,1,"HIGH"
"hr-prozessoptimierung",40,3.33,0.5,"MEDIUM"
"prozessoptimierung hr",40,3.33,0.5,"MEDIUM"
"prozessoptimierung beispiele",40,3.88,0.31,"LOW"
"prozessoptimierung einkauf",40,12.87,0.31,"LOW"
"prozessoptimierung praktikum",40,0.77,0.19,"LOW"
"was ist prozessoptimierung",40,3.87,0.17,"LOW"
"industrie 4.0 prozessoptimierung",40,0,0,"LOW"
"prozessoptimierung im einkauf",40,12.87,0.31,"LOW"
"das ziel : ein roman über prozessoptimierung",40,0.44,1,"HIGH"
"consulting prozessoptimierung",40,9.32,0.41,"MEDIUM"
"werkstudent prozessoptimierung",40,0.82,0.22,"LOW"
"prozessoptimierung fertigung",40,0,0.26,"LOW"
"chatgpt im unternehmen nutzen",40,10.78,0.69,"HIGH"
"ecommerce automatisierung",30,50.55,0.5,"MEDIUM"
"vertrieb automatisieren",30,16.57,0.46,"MEDIUM"
"chatgpt vertrieb",30,16.05,0.17,"LOW"
"prozessoptimierung tools",30,3.67,0.71,"HIGH"
"prozessoptimierung phasen",30,0,0.07,"LOW"
"methoden der prozessoptimierung",30,1.22,0.24,"LOW"
"prozessoptimierung vorgehen",30,4.89,0.23,"LOW"
"prozessoptimierung ablauf",30,0,0.08,"LOW"
"seminar prozessoptimierung",30,6.37,0.66,"MEDIUM"
"prozessoptimierung seminare",30,6.37,0.66,"MEDIUM"
"zitate prozessoptimierung",30,0,0,"LOW"
"prozessoptimierung seminar",30,6.37,0.66,"MEDIUM"
"zitat prozessoptimierung",30,0,0,"LOW"
"prozessoptimierung zitate",30,0,0,"LOW"
"prozessoptimierung zitat",30,0,0,"LOW"
"prozessoptimierung lean management",30,3.15,0.33,"LOW"
"prozessoptimierung kmu",30,0,0.86,"HIGH"
"prozessoptimierung bücher",30,0.3,1,"HIGH"
"phasen der prozessoptimierung",30,0,0.07,"LOW"
"prozessoptimierung buch",30,0.3,1,"HIGH"
"prozessoptimierung schritte",30,0,0.27,"LOW"
"phasen prozessoptimierung",30,0,0.07,"LOW"
"buch prozessoptimierung",30,0.3,1,"HIGH"
"prozessoptimierung gehalt",30,0,0.03,"LOW"
"ablauf prozessoptimierung",30,0,0.08,"LOW"
"digitalisierung prozessoptimierung",30,4.2,0.22,"LOW"
"prozessoptimierung digitalisierung",30,4.2,0.22,"LOW"
"lean management prozessoptimierung",30,3.15,0.33,"LOW"
"seminare prozessoptimierung",30,6.37,0.66,"MEDIUM"
"vorgehen prozessoptimierung",30,4.89,0.23,"LOW"
"b2b leadgenerierung online",30,0,0,""
"leadgenerierung b2b online",30,0,0,""
"leadgenerierung b2b definition",30,0,0,""
"welches unternehmen entwickelte den ki chatbot chatgpt",30,0,0,"LOW"
"chatgpt im unternehmen",30,4.96,0.69,"HIGH"
"automatisierung agentur",20,6.67,0.48,"MEDIUM"
"automatisierung pharma",20,0,0.1,"LOW"
"crm automatisierung",20,15.26,0.5,"MEDIUM"
"ki pharma",20,4.39,0.1,"LOW"
"hr automatisierung",20,42.6,0.64,"MEDIUM"
"prozessoptimierung vertrieb",20,3.26,0.36,"MEDIUM"
"automatisierung durch ki",20,4.95,0.5,"MEDIUM"
"ki automatisierung weiterbildung",20,6.89,0.84,"HIGH"
"ki-automatisierung weiterbildung",20,6.89,0.84,"HIGH"
"ki-gestützte automatisierung",20,3.21,0.41,"MEDIUM"
"ki gestützte automatisierung",20,3.21,0.41,"MEDIUM"
"prozessoptimierung im vertrieb",20,3.26,0.36,"MEDIUM"
"prozessoptimierung grafik",20,0,0.02,"LOW"
"prozessoptimierung industrie",20,0,0.41,"MEDIUM"
"abschlussarbeit prozessoptimierung",20,0,0.03,"LOW"
"prozessoptimierung verwaltung",20,3.72,0.24,"LOW"
"weiterbildung prozessoptimierung ihk",20,3.3,0.73,"HIGH"
"prozessoptimierung maschinenbau",20,1.38,0.43,"MEDIUM"
"prozessoptimierung studium",20,5.55,0.71,"HIGH"
"was bedeutet prozessoptimierung",20,3.27,0.26,"LOW"
"kaizen prozessoptimierung",20,0,0.2,"LOW"
"prozessoptimierung als ganzheitlicher ansatz",20,3.04,0.56,"MEDIUM"
"prozessoptimierung job gehalt",20,0,0.05,"LOW"
"prozessoptimierung durch ki",20,8.09,0.19,"LOW"
"icon prozessoptimierung",20,0,0,"LOW"
"six sigma prozessoptimierung",20,0.42,0.17,"LOW"
"prozessoptimierung durch digitalisierung",20,3.98,0.29,"LOW"
"prozessoptimierung abschlussarbeit",20,0,0.03,"LOW"
"prozessoptimierung beschaffung",20,0,0.03,"LOW"
"prozessoptimierung methoden pdf",20,4.52,0.6,"MEDIUM"
"prozessoptimierung it",20,0,0.09,"LOW"
"fortbildung prozessoptimierung",20,4.01,0.8,"HIGH"
"prozessoptimierung mittelstand",20,13.21,0.02,"LOW"
"workshop prozessoptimierung",20,3.6,0.28,"LOW"
"agile prozessoptimierung",20,0.1,0.09,"LOW"
"prozessoptimierung dienstleistung",20,0,0.03,"LOW"
"prozessoptimierung in der produktion",20,0,0.22,"LOW"
"prozessoptimierung synonym",20,0,0,"LOW"
"prozessoptimierung kaizen",20,0,0.2,"LOW"
"prozessoptimierung fortbildung",20,4.01,0.8,"HIGH"
"prozessoptimierung ausbildung",20,3.83,0.77,"HIGH"
"prozessoptimierung icon",20,0,0,"LOW"
"prozessoptimierung durch künstliche intelligenz",20,8.09,0.19,"LOW"
"lean prozessoptimierung",20,2.46,0.44,"MEDIUM"
"prozessoptimierung supply chain",20,0,0.43,"MEDIUM"
"prozessoptimierung workshop",20,3.6,0.28,"LOW"
"leadgenerierung agentur b2b",20,13.34,0.12,"LOW"
"chatgpt datenschutz unternehmen",20,7.41,0.46,"MEDIUM"
"chatgpt lizenzen für unternehmen",20,4.75,0.83,"HIGH"
"unternehmen chatgpt",20,0,0.38,"MEDIUM"
"was kostet chatgpt für unternehmen",20,3.54,0.54,"MEDIUM"
"automatisierung automotive",10,0,0,""
"automatisierung bau",10,2.09,0.34,"MEDIUM"
"automatisierung consulting",10,0,0.61,"MEDIUM"
"automatisierung ecommerce",10,0,0.86,"HIGH"
"automatisierung finanzen",10,0,0,""
"agentic ai marketing",10,4.12,0.84,"HIGH"
"automatisierung kundenservice",10,67.96,0.23,"LOW"
"ki sales training",10,13.35,0.8,"HIGH"
"automatisierung bauwesen",10,0,0,"LOW"
"ki intralogistik",10,3.24,0.57,"MEDIUM"
"e mail automatisierung ki",10,1.2,0.71,"HIGH"
"ki automatisierung lernen",10,5.86,0.81,"HIGH"
"ki workflow automatisierung",10,8.56,0.49,"MEDIUM"
"ki-automatisierung lernen",10,5.86,0.81,"HIGH"
"ki-automatisierung für unternehmen",10,11.83,0.65,"MEDIUM"
"ki basierte automatisierung",10,0,0.3,"LOW"
"experte für prozessoptimierung",10,0,0,""
"das ziel ein roman über prozessoptimierung pdf",10,0.48,0.41,"MEDIUM"
"master prozessoptimierung",10,0.68,0.62,"MEDIUM"
"kontinuierliche prozessoptimierung",10,0,0.34,"MEDIUM"
"prozessoptimierung ansätze",10,2.75,0.84,"HIGH"
"prozessoptimierung ppt",10,0,0,""
"prozessoptimierung spritzguss",10,0,0.71,"HIGH"
"prozessoptimierung vertrieb bachelorarbeit",10,0,0,""
"prozessoptimierung hamburg",10,0,0.33,"LOW"
"lange nacht der prozessoptimierung lingen",10,0,0,"LOW"
"prozessoptimierung methoden produktion",10,0,0,""
"bewerbung prozessoptimierung",10,0,0,""
"prozessoptimierung einfaches beispiel",10,0,0,""
"prozessoptimierung medizintechnik",10,0,0.86,"HIGH"
"projektarbeit prozessoptimierung",10,0,0.01,"LOW"
"bachelorarbeit prozessoptimierung im unternehmen",10,0,0.1,"LOW"
"kpi prozessoptimierung",10,0,0.71,"HIGH"
"ansätze prozessoptimierung",10,2.75,0.84,"HIGH"
"prozessoptimierung methoden bachelorarbeit",10,0,0,""
"prozessoptimierung lean",10,0,0.26,"LOW"
"prozessoptimierung auf englisch",10,0,0,"LOW"
"diplomarbeit prozessoptimierung pdf",10,0,0,""
"prozessoptimierung in der verwaltung",10,0,0.86,"HIGH"
"prozessoptimierung jobs hamburg",10,1.11,0.26,"LOW"
"präsentation prozessoptimierung",10,0,0,""
"prozessoptimierung pdf",10,2.71,0.64,"MEDIUM"
"bachelorarbeit prozessoptimierung logistik",10,0,0,""
"supply chain management prozessoptimierung in der logistischen kette",10,26.56,0.86,"HIGH"
"masterarbeit prozessoptimierung",10,0,0.02,"LOW"
"beispiele prozessoptimierung",10,0,0.71,"HIGH"
"beispiele für prozessoptimierung",10,0,0,"LOW"
"bachelorarbeit prozessoptimierung sap",10,0,0,""
"hausarbeit prozessoptimierung",10,0,0.29,"LOW"
"prozessoptimierung im gesundheitswesen",10,2.37,0.61,"MEDIUM"
"prozessoptimierung pflege",10,3.57,0.2,"LOW"
"service prozessoptimierung",10,0,0,""
"erp prozessoptimierung",10,0,0,"LOW"
"prozessoptimierung methoden übersicht",10,0,0,"LOW"
"order to cash prozessoptimierung",10,0,0.14,"LOW"
"das ziel prozessoptimierung",10,0,0.48,"MEDIUM"
"fallstudie prozessoptimierung",10,0,0,"LOW"
"prozessoptimierung wiki",10,0,0,""
"technikerarbeit prozessoptimierung",10,0,0,"LOW"
"vorteile prozessoptimierung",10,3.82,0.5,"MEDIUM"
"prozessoptimierung bedeutung",10,1.74,0.12,"LOW"
"prozessoptimierung lehrgang",10,3.2,0.71,"HIGH"
"prozessoptimierung lager",10,0,0.16,"LOW"
"projektnamen prozessoptimierung",10,0,0,""
"schritte der prozessoptimierung",10,0,0,""
"fallbeispiel prozessoptimierung",10,0,0,""
"prozessmanagement prozessoptimierung",10,7.05,0.86,"HIGH"
"prozessoptimierung im büro",10,0,0.71,"HIGH"
"master thesis prozessoptimierung",10,0,0.14,"LOW"
"prozessoptimierung werkzeuge",10,0,0.57,"MEDIUM"
"effiziente prozessoptimierung",10,0,0.86,"HIGH"
"prozessoptimierung gastronomie",10,11.06,0.34,"MEDIUM"
"qualitätssicherung prozessoptimierung",10,0,0,""
"prozessoptimierung steuerberater",10,0,0,""
"prozessoptimierung literatur",10,0,1,"HIGH"
"fernstudium prozessoptimierung",10,6.35,0.86,"HIGH"
"six sigma prozessoptimierung beispiel",10,4.15,0.38,"MEDIUM"
"bachelorarbeit prozessoptimierung gliederung",10,0,0,""
"grundlagen der prozessoptimierung",10,0,0.2,"LOW"
"prozessoptimierung labor",10,0,0,"LOW"
"prozessoptimierung beispiel unternehmen",10,0,0.39,"MEDIUM"
"jobsuche prozessoptimierung",10,0,0.86,"HIGH"
"prozessoptimierung spezialist",10,0,0,""
"stellenbeschreibung prozessoptimierung",10,0,0,"LOW"
"prozessoptimierung öffentliche verwaltung",10,2,0.8,"HIGH"
"ganzheitliche prozessoptimierung",10,0,0,"LOW"
"prozessanalyse und prozessoptimierung",10,0,0,"LOW"
"tu ilmenau prozessoptimierung",10,0,0,"LOW"
"prozessoptimierung diplomarbeit",10,0,0,""
"prozessoptimierung dienstleistungsunternehmen",10,14.65,0.57,"MEDIUM"
"prozessoptimierung startup",10,0,0.71,"HIGH"
"prozessoptimierung hausarbeit",10,0,0.29,"LOW"
"mitarbeiter prozessoptimierung",10,0.22,0.31,"LOW"
"prozessoptimierung düsseldorf",10,0,0,"LOW"
"prozessoptimierung in dienstleistungsunternehmen",10,0,0,""
"prozessoptimierung im rechnungswesen",10,2.84,0.75,"HIGH"
"kvp prozessoptimierung",10,0,0.4,"MEDIUM"
"prozessoptimierung berlin",10,3.79,0.71,"HIGH"
"tools prozessoptimierung",10,0,0,""
"prozessoptimierung banken",10,4.29,0.37,"MEDIUM"
"mitarbeiterbefragung prozessoptimierung",10,0,0,""
"prozessoptimierung im op",10,0,0.43,"MEDIUM"
"projekt prozessoptimierung",10,0,0.43,"MEDIUM"
"e-government prozessoptimierung in der öffentlichen verwaltung",10,0,0.36,"MEDIUM"
"prozessoptimierung masterarbeit",10,0,0,"LOW"
"prozessoptimierung nürnberg",10,0,0,""
"prozessoptimierung controlling",10,0,0,"LOW"
"prozessoptimierung handwerk",10,5.37,0.66,"MEDIUM"
"prozessoptimierung instandhaltung",10,0,0,""
"prozessoptimierung lustig",10,0,0,"LOW"
"prozessoptimierung scheer",10,0,0,""
"coaching prozessoptimierung",10,0,0.32,"LOW"
"studium prozessoptimierung",10,3.24,0.84,"HIGH"
"austaktung von montage prozessoptimierung",10,0,0,""
"das ziel ein roman über prozessoptimierung hörbuch",10,0,0,""
"prozessoptimierung produktion methoden",10,0.57,0.71,"HIGH"
"prozessoptimierung im krankenhaus diplomarbeit",10,0,0,""
"prozessoptimierung stellenbeschreibung",10,0,0,""
"prozessoptimierung industrie 4.0",10,0,0.32,"LOW"
"prozessoptimierung montage",10,0,0,"LOW"
"prozessoptimierung logistik methoden",10,0,0.29,"LOW"
"das ziel: ein roman über prozessoptimierung zusammenfassung",10,0,0,""
"prozessoptimierung krankenhaus beispiele",10,0,0.62,"MEDIUM"
"das ziel: ein roman über prozessoptimierung pdf",10,0.48,0.41,"MEDIUM"
"was bewirkt eine prozessoptimierung",10,0,0,"LOW"
"lehrgang prozessoptimierung",10,3.2,0.71,"HIGH"
"ingenieur prozessoptimierung",10,0.25,0.49,"MEDIUM"
"kosteneinsparung durch prozessoptimierung",10,0,0,""
"prozessoptimierung modelle",10,11.67,0.36,"MEDIUM"
"werkzeuge und methoden zur prozessoptimierung",10,0,0,""
"handbuch der prozessoptimierung",10,0.12,1,"HIGH"
"effizienzsteigerung durch prozessoptimierung",10,0,0,""
"prozessoptimierung erp",10,0,0.62,"MEDIUM"
"bachelorarbeit prozessoptimierung produktion",10,0,0,"LOW"
"masterarbeit prozessoptimierung produktion",10,0,0,""
"prozessoptimierung definition wirtschaftslexikon",10,0,0,""
"prozessoptimierung auftragsabwicklung",10,0,0.86,"HIGH"
"order-to-cash prozessoptimierung",10,0,0.14,"LOW"
"prozessoptimierung chemie",10,0,0.24,"LOW"
"nutzwertanalyse prozessoptimierung",10,2.24,0.86,"HIGH"
"prozessoptimierung arztpraxis",10,37.04,0.3,"LOW"
